agency,title,description,formats,link,
Department of Internal Affairs,Government consultation listing,"The Government consultation listing provides details for consultations from both central and local government sorted by topic, agency and status.","['API', 'ASCII', 'CSV', 'DB', 'Datastreams', 'HTML', 'KML', 'Other Geo', 'PDF', 'Spreadsheet', 'XML']",https://data.govt.nz/dataset/show/4619,
Ministry of Health,Regional results from the 2011-2014 New Zealand Health Survey,This regional release provides key results from the 2011-14 New Zealand Health Survey (NZHS) data at District Health Board (DHB) and Public Health Unit (PHU) level.,"['Other Geo', 'Spreadsheet']",https://data.govt.nz/dataset/show/4194,
Land Information New Zealand,Landonline: Parcel Topology Dataset,*Please read:* This dataset is comprised of multiple layers and tables from the Full Landonline Dataset[https://data.linz.govt.nz/group/full-landonline-dataset/] and is designed for use only by data professionals who require the complex version of our property ownership and boundary data for advanced uses.,"['CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/3731,
Land Information New Zealand,Landonline: Marks and Adjustments Dataset,*Please read:* This dataset is comprised of multiple layers and tables from the Full Landonline Dataset[https://data.linz.govt.nz/group/full-landonline-dataset/] and is designed for use only by data professionals who require the complex version of our property ownership and boundary data for advanced uses.,"['CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/3734,
Land Information New Zealand,Landonline: Survey and Observations Dataset 2,*Please read:* This dataset is comprised of multiple layers and tables from the Full Landonline Dataset[https://data.linz.govt.nz/group/full-landonline-dataset/] and is designed for use only by data professionals who require the complex version of our property ownership and boundary data for advanced uses.,"['CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/3730,
Land Information New Zealand,Landonline: Survey and Observations Dataset 1,*Please read:* This dataset is comprised of multiple layers and tables from the Full Landonline Dataset[https://data.linz.govt.nz/group/full-landonline-dataset/] and is designed for use only by data professionals who require the complex version of our property ownership and boundary data for advanced uses.,"['CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/3735,
Land Information New Zealand,Landonline: Parcels and Descriptions Dataset,*Please read:* This dataset is comprised of multiple layers and tables from the Full Landonline Dataset[https://data.linz.govt.nz/group/full-landonline-dataset/] and is designed for use only by data professionals who require the complex version of our property ownership and boundary data for advanced uses.,"['CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/3738,
Land Information New Zealand,Landonline: Roads and Addresses Dataset,*Please read:* This dataset is comprised of multiple layers and tables from the Full Landonline Dataset[https://data.linz.govt.nz/group/full-landonline-dataset/] and is designed for use only by data professionals who require the complex version of our property ownership and boundary data for advanced uses.,"['CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/3736,
Ministry for Primary Industries,National Aquatic Biodiversity Information System (NABIS) - Mammals Layers,This group of data layers contains all of the species distributions for 11 different marine mammal species around New Zealand.,['Other Geo'],https://data.govt.nz/dataset/show/3747,
Ministry for Primary Industries,National Aquatic Biodiversity Information System (NABIS) - Fishing Restrictions,This group of data layers contains all of the commercial and amateur fishing restrictions that are administered by the Ministry for Primary Industries.,['Other Geo'],https://data.govt.nz/dataset/show/3746,
