Organisation,Sector,Common name,Postal address,Physical address,Generic Email,Generic Phone,Generic Fax,CE personal title,CE first name,CE surname,CE name suffix,CE greeting name,Mayor personal title,Mayor first name,Mayor surname,Mayor name suffix,Mayor greeting name,Chair personal title,Chair first name,Chair surname,Chair name suffix,Chair greeting name
Accident Compensation Corporation,"Crown agents
    -> Statutory entities
        -> Crown entities
            -> State Services
                -> Public Sector",Accident Compensation Corporation,"PO Box 242 
Wellington 6140","Justice Centre 
19 Aitken Street 
Wellington 6140",information@acc.co.nz,"+64 4 816 7400
0800 101 996",+64 4 918 7701,,Scott,Pickering ,,Scott Pickering ,,,,, ,,,,, 
Accreditation Council,"Autonomous crown entities
    -> Statutory entities
        -> Crown entities
            -> State Services
                -> Public Sector",Accreditation Council,"Private Bag 28901 
Remuera 
Auckland 1541","626 Great South Road 
Ellerslie 
Auckland 1051",info@telarc.co.nz,"+64 9 525 0100
0800 004 004",+64 9 525 1900,,Philip,Cryer,,Philip Cryer,,,,, ,,David ,Bone,,David  Bone
Agricultural and Marketing Research and Development Trust,"Trusts
    -> Public Finance Act Schedule 4 organisations
        -> State Services
            -> Public Sector",Agricultural and Marketing Research and Development Trust,"PO Box 472 
Feilding 4740","8 Weld Street 
Feilding 4740",info@agmardt.org.nz,+64 6 323 8766,+64 6 323 8767,,Malcolm,Nitschke,,Malcolm Nitschke,,,,, ,,Barry,Brook,,Barry Brook
Alexander Turnbull Library,"Public Service
    -> State Services
        -> Public Sector",Alexander Turnbull Library,"PO Box 12349 
Wellington 6140","Level 2 National Library of New Zealand 
Corner of Molesworth and Aitken Streets 
Thorndon 
Wellington 6140",atl@natlib.govt.nz,"+64 4 474 3000
0800 474 300",+64 4 474 3063,,,,, ,,,,, ,,,,, 
Arts Council of New Zealand Toi Aotearoa,"Autonomous crown entities
    -> Statutory entities
        -> Crown entities
            -> State Services
                -> Public Sector",Creative New Zealand,"PO Box 3806 
Wellington 6140","Level 10 Aorangi House 
85 Molesworth Street 
Wellington 6011",info@creativenz.govt.nz,+64 4 473 0880,+64 4 471 2865,,Stephen ,Wainwright,,Stephen  Wainwright,,,,, ,,Richard,Grant,,Richard Grant
Ashburton District Council,"District Council
    -> Territorial Authority
        -> Local Authority
            -> Public Sector",Ashburton District Council,"PO Box 94 
Ashburton 7740","5 Baring Square West  
Ashburton 7700",info@adc.govt.nz,+64 3 307 7700,,,Andrew,Dalziel,,Andrew Dalziel,,Donna,Favel,,Donna Favel,,,,, 
Asia New Zealand Foundation,"Trusts
    -> Public Finance Act Schedule 4 organisations
        -> State Services
            -> Public Sector",Asia New Zealand Foundation,"PO Box 10 144 
Wellington 6143","Level 16 Fujitsu Tower 
141 The Terrace 
Wellington 6011",asianz@asianz.org.nz,+64 4 471 2320,+64 4 471 2330,,Simon,Draper,,Simon Draper,,,,, ,Hon,John,Luxton,,Hon Luxton
Auckland Council,"City Council
    -> Territorial Authority
        -> Local Authority
            -> Public Sector",Auckland Council,"Private Bag 92300 
Victoria Street West 
Auckland 1142","135 Albert Street 
Auckland 1010",,+64 9 301 0101,+64 9 301 0100,,Stephen,Town,,Stephen Town,,Phil,Goff,,Phil Goff,,,,, 
Auckland District Health Board,"District Health Boards
    -> Crown agents
        -> Statutory entities
            -> Crown entities
                -> State Services
                    -> Public Sector",Auckland District Health Board,"Private Bag 92189 
Auckland 1142","Level 1 Building 37 
2 Park Road 
Grafton 
Auckland 1023",feedback@adhb.govt.nz,+64 9 367 0000,,,Alisa,Claire,,Alisa Claire,,,,, ,Dr ,Lester ,Levy,,Dr  Levy
Aviation Security Service,"Crown agents
    -> Statutory entities
        -> Crown entities
            -> State Services
                -> Public Sector",Aviation Security Service,"PO Box 2165 
Wellington 6140","Level 15 Asteron Centre 
55 Featherston Street 
Wellington 6140",Reception@avsec.govt.nz,+64 4 495 2430,+64 4 495 2432,,Mark,Wheeler,,Mark Wheeler,,,,, ,,,,, 
Bay of Plenty District Health Board,"District Health Boards
    -> Crown agents
        -> Statutory entities
            -> Crown entities
                -> State Services
                    -> Public Sector",Bay of Plenty District Health Board,"Private Bag 12024 
Tauranga Central 
Tauranga 3143","Corner Clarke Street and Twentieth Avenue 
Tauranga Central 
Tauranga 3112",communications@bopdhb.govt.nz,+64 7 579 8000,+64 7 578 2649,,Helen,Mason,,Helen Mason,,,,, ,,Sally,Webb,,Sally Webb
Bay of Plenty Regional Council,"Regional Council
    -> Local Authority
        -> Public Sector",Bay of Plenty Regional Council,"PO Box 364 
Whakatane 3158","5 Quay Street 
Whakatane",info@boprc.govt.nz,"+64 7 922 3390
0800 884 880",+64 7 922 3323,,Mary-Anne,Macleod,,Mary-Anne Macleod,,,,, ,,Doug,Leeder,,Doug Leeder
Broadcasting Commission,"Autonomous crown entities
    -> Statutory entities
        -> Crown entities
            -> State Services
                -> Public Sector",NZ On Air,"PO Box 9744 
Wellington 6141","Level 2 
119 Ghuznee Street 
Wellington         ",info@nzonair.govt.nz,+64 4 382 9524,+64 4 382 9546,,Jane,Wrightson,,Jane Wrightson,,,,, ,,Miriam,Dean,,Miriam Dean
Broadcasting Standards Authority,"Independent crown entities
    -> Statutory entities
        -> Crown entities
            -> State Services
                -> Public Sector",Broadcasting Standards Authority,"PO Box 9213 
Wellington 6141","Level 2 
119 Ghuznee Street 
Wellington",info@bsa.govt.nz,"+64 4 382 9508
0800 366 996",+64 4 382 9543,,Belinda,Moffat,,Belinda Moffat,,,,, ,,Peter,Radich,,Peter Radich
Building System Performance,"Public Service
    -> State Services
        -> Public Sector",Building System Performance,"PO Box 1473 
Wellington 6140","15 Stout Street 
Wellington 6011",info@building.govt.nz,0800 24 22 43,,,,,, ,,,,, ,,,,, 
Buller District Council,"District Council
    -> Territorial Authority
        -> Local Authority
            -> Public Sector",Buller District Council,"PO Box 21 
Westport 7866","6-8 Brougham Street 
Westport 7866",info@bdc.govt.nz,"+64 3 788 9111
0800 807 239",+64 3 788 8041,,Craig,Scanlon,,Craig Scanlon,,Garry,Howard,,Garry Howard,,,,, 
Callaghan Innovation,"Crown agents
    -> Statutory entities
        -> Crown entities
            -> State Services
                -> Public Sector",Callaghan Innovation,"PO Box 11529 
Manners Street 
Wellington 6142","Level 14 Asteron Centre 
55 Featherston St 
Wellington 6011",info@callaghaninnovation.govt.nz,"+64 4 931 3578
0800 422 552",,Dr,Mary,Quin,,Dr Quin,,,,, ,,Sue,Suckling,,Sue Suckling
Canterbury District Health Board,"District Health Boards
    -> Crown agents
        -> Statutory entities
            -> Crown entities
                -> State Services
                    -> Public Sector",Canterbury District Health Board,"PO Box 1600 
Christchurch 8022","Level 2, H Block The Princess Margaret Hospital 
97 Cashmere Road 
Cashmere 
Christchurch",,+64 3 364 4106,+64 3 364 4101,,David,Meates,,David Meates,,,,, ,,Murray,Cleverley,,Murray Cleverley
Canterbury Regional Council,"Regional Council
    -> Local Authority
        -> Public Sector",Environment Canterbury,"PO Box 345 
Christchurch 8140","200 Tuam Street 
Christchurch 8011",ecinfo@ecan.govt.nz,"+64 3 353 9007 
0800 324 636",+64 3 365 3194,,Bill,Bayfield,,Bill Bayfield,,,,, ,,David,Bedford,,David Bedford
Capital & Coast District Health Board,"District Health Boards
    -> Crown agents
        -> Statutory entities
            -> Crown entities
                -> State Services
                    -> Public Sector",Capital & Coast District Health Board,"Private Bag 7902 
Newtown 
Wellington 6021","Wellington Hospital 
Riddiford Street 
Newtown 
Wellington 6021",info@ccdhb.org.nz,+64 4 385 5999,+64 4 385 5856,,Debbie,Chin,,Debbie Chin,,,,, ,Dr,Virginia,Hope,,Dr Hope
Careers New Zealand,"Crown agents
    -> Statutory entities
        -> Crown entities
            -> State Services
                -> Public Sector",Careers New Zealand,"PO Box 9446 
Wellington 6141","Level 3 
22-28 Willeston Street 
Wellington 6141",careers@careers.govt.nz,0800 222 733,+64 4 801 5161,,Keith,Marshall,,Keith Marshall,,,,, ,,Dale,Karauria,,Dale Karauria
Carterton District Council,"District Council
    -> Territorial Authority
        -> Local Authority
            -> Public Sector",Carterton District Council,"PO Box 9
 
Carterton 5743","    
Carterton 5743",info@cdc.govt.nz,+64 6 379 4030,+64 6 379 7832,,Jane,Davis,,Jane Davis,,John,Booth,,John Booth,,,,, 
Central Hawke's Bay District Council,"District Council
    -> Territorial Authority
        -> Local Authority
            -> Public Sector",Central Hawke's Bay District Council,"PO Box 127 
Waipawa 4240","28-32 Ruataniwha Street 
Waipawa 4210",info@chbdc.govt.nz,+64 6 857 8060,+64 6 857 7179,,John,Freeman,,John Freeman,,Alex,Walker,,Alex Walker,,,,, 
Central Otago District Council,"District Council
    -> Territorial Authority
        -> Local Authority
            -> Public Sector",Central Otago District Council,"PO Box 122 
Alexandra 9340","William Fraser Building 
1  Dunorling St 
Alexandra 9320", info@codc.govt.nz,+64 3 440 0056,+64 3 448 9196,,Leanne,Mash,,Leanne Mash,,Tim,Cadogan,,Tim Cadogan,,,,, 
Charities Services,"Public Service
    -> State Services
        -> Public Sector",Charities Services,"PO Box 30112 
Lower Hutt 5040","120 Victoria Street 
Wellington 6011",info@charities.govt.nz,"+64 4 495 7200
0508 242 748",,,,,, ,,,,, ,,Roger H,Miller,,Roger H Miller
Chatham Islands Council,"District Council
    -> Territorial Authority
        -> Local Authority
            -> Public Sector",Chatham Islands Council,"PO Box 24 
Waitangi 
Chatham Islands 8942","9 Tuku Rd 
Waitangi 
Chatham Islands",info@cic.govt.nz,+64 3 305 0033,+64 3 305 0044,,Owen,Pickles,,Owen Pickles,,Alfred,Preece,,Alfred Preece,,,,, 
"Child, Youth and Family","Public Service
    -> State Services
        -> Public Sector","Child, Youth and Family","PO Box 1556 
Wellington 6140","Ground floor Bowen State Building 
Bowen Street 
Wellington 6140",feedback@cyf.govt.nz,"+64 9 912 3820
0508 326 459",+64 9 914 1211,,,,, ,,,,, ,,,,, 
Children's Commissioner,"Independent crown entities
    -> Statutory entities
        -> Crown entities
            -> State Services
                -> Public Sector",Children's Commissioner,"PO Box 5610 
Wellington 6145","Level 7 
110 Featherston Street 
Wellington",children@occ.org.nz,"+64 4 471 1410
0800 224 453",,Dr,Russell,Wills,,Dr Wills,,,,, ,,,,, 
Christchurch City Council,"City Council
    -> Territorial Authority
        -> Local Authority
            -> Public Sector",Christchurch City Council,,"53 Hereford Street 
Christchurch",info@ccc.govt.nz,"+64 3 941 8999
0800 800 169",+64 3 941 8033,Dr.,Karleen,Edwards,,Dr. Edwards,,Lianne,Dalziel,,Lianne Dalziel,,,,, 
Civil Aviation Authority of New Zealand,"Crown agents
    -> Statutory entities
        -> Crown entities
            -> State Services
                -> Public Sector",Civil Aviation Authority of New Zealand,"PO Box 3555 
Wellington 6140","Level 15 Asteron House 
55 Featherston Street 
Wellington",info@caa.govt.nz,+64 4 560 9400,+64 4 569 2024,,Graeme ,Harris,,Graeme  Harris,,,,, ,,Nigel,Gould,,Nigel Gould
Clutha District Council,"District Council
    -> Territorial Authority
        -> Local Authority
            -> Public Sector",Clutha District Council,"PO Box 25 
Balclutha 9240","1  Rosebank Terrace 
Balclutha",help.desk@cluthadc.govt.nz,"+64 3 419 0200
0800 801 350",+64 3 418 3185,,Steve,Hill,,Steve Hill,,Bryan,Cadogan,,Bryan Cadogan,,,,, 
Commerce Commission,"Independent crown entities
    -> Statutory entities
        -> Crown entities
            -> State Services
                -> Public Sector",Commerce Commission,"PO Box 2351 
Wellington 6140","Level 6 
44-52 The Terrace 
Wellington 6011",contact@comcom.govt.nz,"+64 4 924 3600
0800 943 600",+64 4 924 3700,,Brent,Alderton,,Brent Alderton,,,,, ,Dr,Mark,Berry,,Dr Berry
Commission for Financial Capability,"Autonomous crown entities
    -> Statutory entities
        -> Crown entities
            -> State Services
                -> Public Sector",Commission for Financial Capability,"PO Box 106-056 
Auckland City 1143","Level 3 Quay Building 
108 Quay Street 
Auckland 1010",office@cffc.org.nz,+64 9 356 0052,,,Diane,Maxwell,,Diane Maxwell,,,,, ,,,,, 
Community Investment,"Public Service
    -> State Services
        -> Public Sector",Community Investment,"PO Box 1556 
Wellington 6140","Bowen State Building 
Bowen Street 
Wellington 6140",information@familyservices.govt.nz,+64 4 916 3300,+64 4 917 5584,,,,, ,,,,, ,,,,, 
Companies Office,"Public Service
    -> State Services
        -> Public Sector",Companies Office,"Private Bag 92061
Victoria Street West 
Auckland 1142","15 Stout Street 
Wellington 6011",info@med.govt.nz,"+64 4 901 1499
0508 266 726",,,,,, ,,,,, ,,,,, 
Counties Manukau District Health Board,"District Health Boards
    -> Crown agents
        -> Statutory entities
            -> Crown entities
                -> State Services
                    -> Public Sector",Counties Manukau District Health Board,"Private Bag 94 052 
South Auckland mail centre 
Maunkau 2240","19 Lambie Drive 
Manukau City 
Auckland 2104",,"+64 9 262 9500
0800 611 116",+64 9 262 9501,,Geraint,Martin,,Geraint Martin,,,,, ,Dr,Lee,Mathias,,Dr Mathias
Court of Appeal,"Public Service
    -> State Services
        -> Public Sector",Court of Appeal,,"Corner Molesworth and  Aitken Streets 
Wellington",Courtofappeal@justice.govt.nz,"+64 4 914 3540
0800 268 787", +64 4 914 3570,,,,, ,,,,, ,,,,, 
Crown Fibre Holdings Limited,"Public Finance Act Schedule 4a companies
    -> State Services
        -> Public Sector",Crown Fibre Holdings Limited,"PO Box 105321 
Auckland 1143","Level 10 PriceWaterHouseCooper Tower 
188 Quay St 
Auckland 1010",info@crownfibre.govt.nz,+ 64 9 912 1970,+ 64 9 368 9201,,Graham,Mitchell,,Graham Mitchell,,,,, ,,Simon,Allen,,Simon Allen
Crown Law Office,"Public Service
    -> State Services
        -> Public Sector",Crown Law Office,"PO Box 2858 
Wellington 6140","Level 3 Justice Centre 
19  Aitken Street 
Wellington",library@crownlaw.govt.nz,+64 4 472 1719,+64 4 473 3482,,Una,Jagose,,Una Jagose,,,,, ,,,,, 
Defence Employer Support Council,"Statutory entities
    -> Crown entities
        -> State Services
            -> Public Sector",Defence Employer Support Council,"DESC Secretariat
Private Bag 39997
Wellington Mail Centre 
Wellington 5045","Freyberg House 
2-12  Aitken Street 
Wellington  6011",desc@nzdf.mil.nz,+64 4 498 6549,,,,,, ,,,,, ,,Peter,Townsend,,Peter Townsend
Department of Conservation,"Public Service
    -> State Services
        -> Public Sector",Department of Conservation,"PO Box 10420 
Wellington 6143","Conservation House - Whare Kaupapa Atawhai 
18-32 Manners Street 
Wellington 6011",enquiries@doc.govt.nz,+64 4 471 0726,+64 4 381 3057,,Lou,Sanson,,Lou Sanson,,,,, ,,,,, 
Department of Corrections,"Public Service
    -> State Services
        -> Public Sector",Department of Corrections,"Private Box 1206 
Wellington 6140","Level 9 Mayfair House 
44-52 The Terrace 
Wellington 6011",info@corrections.govt.nz,+64 4 460 3000,+64 4  460 3263,,Ray,Smith,,Ray Smith,,,,, ,,,,, 
Department of Internal Affairs,"Public Service
    -> State Services
        -> Public Sector",Department of Internal Affairs,"PO Box 805 
Wellington 6140","147  Lambton Quay 
Wellington 6011",info@dia.govt.nz,"+64 4 495 7200
0800 25 78 87",,,Colin,MacDonald,,Colin MacDonald,,,,, ,,,,, 
Department of the Prime Minister and Cabinet,"Public Service
    -> State Services
        -> Public Sector",Department of the Prime Minister and Cabinet,"Executive Wing
Parliament Buildings 
Wellington 6011","Level 8, Executive Wing Parliament Buildings 
Wellington 6011",,+64 4 817 9700,,,Andrew,Kibblewhite,,Andrew Kibblewhite,,,,, ,,,,, 
Disputes Tribunal,"Public Service
    -> State Services
        -> Public Sector",Disputes Tribunal,,"43-49  Ballance Street 
Wellington   ",info@justice.govt.nz ,"+64 9 583 1900
0800 268 787",,,,,, ,,,,, ,,,,, 
Drug Free Sport New Zealand,"Independent crown entities
    -> Statutory entities
        -> Crown entities
            -> State Services
                -> Public Sector",Drug Free Sport New Zealand,"PO Box 17451 
Greenlane 
Auckland 1546","Level 3 Building 5, Central Park Corporate Centre 
666 Great South Road 
Greenlane 
Auckland 1051",info@drugfreesport.org.nz,+64 9 582 0388,+64 9 580 0381,,Graeme,Steel,,Graeme Steel,,,,, ,Hon Justice,Warwick,Gendall,,Hon Justice Gendall
Dunedin City Council,"City Council
    -> Territorial Authority
        -> Local Authority
            -> Public Sector",Dunedin City Council,"PO Box 5045 
Moray Place 
Dunedin 9058","Ground floor Civic Centre 
50 The Octagon 
Dunedin",dcc@dcc.govt.nz,+64 3 477 4000,,Dr.,Sue,Bidrose,,Dr. Bidrose,,Dave,Cull,,Dave Cull,,,,, 
Earthquake Commission,"Crown agents
    -> Statutory entities
        -> Crown entities
            -> State Services
                -> Public Sector",Earthquake Commission,"PO Box 311 
Wellington 6140","Level 11 Majestic Centre 
100 Willis Street 
Wellington",info@eqc.govt.nz,"+64 4 978 6400
0800 326 243",+64 4 978 6432,,Ian,Simpson,,Ian Simpson,,,,, ,,,,, 
Education New Zealand,"Crown agents
    -> Statutory entities
        -> Crown entities
            -> State Services
                -> Public Sector",Education New Zealand,"PO Box 12041 
Wellington 6144","Level 5   Lambton House 
160 Lambton Quay 
Wellington 6011",info@enz.govt.nz,+64 4 472 0788,+64 4 917 0534,,Grant,McPherson ,,Grant McPherson ,,,,, ,,Charles,Finny,,Charles Finny
Education Review Office,"Public Service
    -> State Services
        -> Public Sector",Education Review Office,"PO Box 2799 
Wellington 6140","Level 1 
Wellington 6011",info@ero.govt.nz,+64 4 499 2489,+64 4 499 2482,,Iona,Holsted,,Iona Holsted,,,,, ,,,,, 
Electoral Commission,"Independent crown entities
    -> Statutory entities
        -> Crown entities
            -> State Services
                -> Public Sector",Electoral Commission,"PO Box 3220 
Wellington 6140","Level 10 
34-42 Manners Street 
Wellington 6011",enquiries@elections.govt.nz ,"+64 4 495 0030
0800 36 76 56",+64 4 495 0031,,Robert,Peden,,Robert Peden,,,,, ,Hon Justice Sir,Hugh,Williams,QC,Hon Justice Sir Williams
Electrical Workers Registration Board,"Public Service
    -> State Services
        -> Public Sector",Electrical Workers Registration Board,"PO Box 10-156 
Wellington 6143","15 Stout Street 
Wellington 6011",info@ewrb.govt.nz,"+64 3 943 4254
0800 661 000",+64 4 473 2395,,,,, ,,,,, ,,,,, 
Electricity Authority,"Independent crown entities
    -> Statutory entities
        -> Crown entities
            -> State Services
                -> Public Sector",Electricity Authority,"PO Box 10041
The Terrace 
Wellington 6143","Level 7 ASB Bank Tower 
2  Hunter Street 
Wellington  6143",info@ea.govt.nz,+64 4 460 8860,+64 4 460 8879,,Carl,Hansen,,Carl Hansen,,,,, ,Dr,Brent,Layton,,Dr Layton
Employment Relations Authority,"Public Service
    -> State Services
        -> Public Sector",Employment Relations Authority,," Mezzanine (South)  Tower Building  
50 Customhouse Quay 
Wellington 6011",,+64 4 915 9550,,,Rosemary,Monaghan,,Rosemary Monaghan,,,,, ,,,,, 
Energy Efficiency and Conservation Authority,"Crown agents
    -> Statutory entities
        -> Crown entities
            -> State Services
                -> Public Sector",Energy Efficiency and Conservation Authority,"PO Box 388 
Wellington 6140","Level 8 
44 The Terrace 
Wellington",info@eeca.govt.nz,"+64 4 470 2200
0800 358 676",+64 4 4 499 5330,,Mike ,Underhill,,Mike  Underhill,,,,, ,,,,, 
